"Sant Fost de Campsentelles","CatSíqueesPot",592
"Sant Fost de Campsentelles","PP",585
"Sant Fost de Campsentelles","PSC",521
"Sant Fost de Campsentelles","CUP",362
"Sant Fost de Campsentelles","unio.cat",99
"Sant Fost de Campsentelles","PACMA",37
"Sant Fost de Campsentelles","RECORTES CERO-ELS VERDS",21
"Orpí","Total de votantes",102
"Orpí","Abstención",12
"Orpí","Votos nulos",1
"Orpí","Votos en blanco",0
"Orpí","Votos a candidaturas",101
"Orpí","JxSí",78
"Orpí","CUP",14
"Orpí","CatSíqueesPot",5
"Orpí","PP",2
"Orpí","unio.cat",2
"Orpí","C's",0
"Orpí","PSC",0
"Orpí","PACMA",0
"Orpí","RECORTES CERO-ELS VERDS",0
"Blanes","Total de votantes",20267
"Blanes","Abstención",7060
"Blanes","Votos nulos",154
"Blanes","Votos en blanco",122
"Blanes","Votos a candidaturas",19991
"Blanes","JxSí",6682
"Blanes","C's",4127
"Blanes","PSC",2845
"Blanes","CatSíqueesPot",2585
"Blanes","PP",1669
"Blanes","CUP",1428
"Blanes","unio.cat",411
"Blanes","PACMA",143
"Blanes","RECORTES CERO-ELS VERDS",73
"Blanes","GANEMOS",17
"Blanes","PIRATA.CAT/XDT",11
"Almatret","Total de votantes",241
"Almatret","Abstención",53
"Almatret","Votos nulos",3
"Almatret","Votos en blanco",1
"Almatret","Votos a candidaturas",237
"Almatret","JxSí",170
"Almatret","PP",26
"Almatret","CUP",15
"Almatret","C's",8
"Almatret","PSC",6
"Almatret","CatSíqueesPot",6
"Almatret","unio.cat",6
"Almatret","GANEMOS",0
"Almatret","PACMA",0
"Almatret","RECORTES CERO-ELS VERDS",0
"Sant Boi de Lluçanès","Total de votantes",364
"Sant Boi de Lluçanès","Abstención",79
"Sant Boi de Lluçanès","Votos nulos",0
"Sant Boi de Lluçanès","Votos en blanco",2
"Sant Boi de Lluçanès","Votos a candidaturas",362
"Sant Boi de Lluçanès","JxSí",288
"Sant Boi de Lluçanès","CUP",24
"Sant Boi de Lluçanès","PP",20
"Sant Boi de Lluçanès","PSC",12
"Sant Boi de Lluçanès","unio.cat",8
"Sant Boi de Lluçanès","C's",5
"Sant Boi de Lluçanès","CatSíqueesPot",5
"Sant Boi de Lluçanès","PACMA",0
"Sant Boi de Lluçanès","RECORTES CERO-ELS VERDS",0
"Horta de Sant Joan","Total de votantes",769
"Horta de Sant Joan","Abstención",162
"Horta de Sant Joan","Votos nulos",10
"Horta de Sant Joan","Votos en blanco",8
"Horta de Sant Joan","Votos a candidaturas",751
"Horta de Sant Joan","JxSí",423
"Horta de Sant Joan","PP",127
"Horta de Sant Joan","CUP",64
"Horta de Sant Joan","PSC",45
"Horta de Sant Joan","unio.cat",39
"Horta de Sant Joan","C's",27
"Horta de Sant Joan","CatSíqueesPot",23
"Horta de Sant Joan","GANEMOS",2
"Horta de Sant Joan","PACMA",1
"Horta de Sant Joan","RECORTES CERO-ELS VERDS",0
"Rellinars","Total de votantes",475
"Rellinars","Abstención",108
"Rellinars","Votos nulos",1
"Rellinars","Votos en blanco",4
"Rellinars","Votos a candidaturas",470
"Rellinars","JxSí",278
"Rellinars","CatSíqueesPot",45
"Rellinars","PSC",43
"Rellinars","C's",34
"Rellinars","CUP",30
"Rellinars","PP",26
"Rellinars","unio.cat",8
"Rellinars","PACMA",6
"Rellinars","RECORTES CERO-ELS VERDS",0
"Benavent de Segrià","Total de votantes",871
"Benavent de Segrià","Abstención",193
"Benavent de Segrià","Votos nulos",5
"Benavent de Segrià","Votos en blanco",3
"Benavent de Segrià","Votos a candidaturas",863
"Benavent de Segrià","JxSí",537
"Benavent de Segrià","C's",95
"Benavent de Segrià","CUP",78
"Benavent de Segrià","PSC",52
"Benavent de Segrià","PP",49
"Benavent de Segrià","CatSíqueesPot",26
"Benavent de Segrià","unio.cat",20
"Benavent de Segrià","PACMA",4
"Benavent de Segrià","GANEMOS",1
